eng	tc	sc	options	a
Excuse me, __ is the MTR?	唔該，地鐵站喺___？	唔该，地铁站喺___？	呢度,嗰度,邊度,上面	3
__ do you say this in Cantonese?	你廣東話__講呢句？	你广东话__讲这句？	點解,點樣,咩樣,乜嘢	1
I want to go __ the supermarket.	我想__街市。	我想__街市。	去,打,走,過	0
What __ you eat for breakfast?	你朝早早餐__食咩？	你早上早餐__吃什么？	成日,點會,實會,多數	3
He is __ to school.	佢__學校。	他__学校。	去緊,走完,到走,緊去	0
She __ cooking dinner now.	佢而家__煮晚飯。	她现在__煮晚饭。	係度,係到,喺度,喺到	2
How much __ this apple?	呢個蘋果__錢？	这个苹果__钱？	幾多,點多,乜多,咩多	0
I __ see him yesterday.	我琴日__見到佢。	我昨天__见到他。	度,冇,喺,曾	1
Let's __ eat together.	我哋一__食啦。	我们一__吃啦。	齊,齊齊,起,起起	0
__ do you buy this bag?	你個袋__度買？	你这个袋__里买？	喺邊,唔使,向,響	0
He __ to sleep at 10 pm.	佢夜晚10點__覺。	他晚上10点__觉。	瞓,訓,睡,眠	0
They __ watching TV now.	佢哋而家__睇電視。	他们现在__看电视。	係度,係到,喺度,喺到	2
I __ eat beef.	我__食牛肉。	我__吃牛肉。	唔冇,唔,唔使,唔制	1
__ is your phone number?	你電話號碼喺__？	你电话号码喺__？	邊,乜,幾,咩	3
He __ go to the party last night.	佢琴晚__去派對。	他昨晚__去派对。	點解,冇,無,唔曾	1
She __ speak three languages.	佢__講三種語言。	她__讲三种语言。	點會,識得,會得,曉	1
We __ have class tomorrow.	我哋聽日__上堂。	我们明天__上课。	唔使,唔駛,唔洗,唔雖	0
What __ your name?	你__咩名？	你__咩名？	稱,話,講,叫	3
I __ like coffee.	我__鍾意咖啡。	我__喜欢咖啡。	唔好,識得,非常,點好	2
__ are you so happy?	你__咁開心？	你__这么开心？	因解,點咩,點解,因咩	2
